Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
140,52.6861,11.4272,SB,93,51,218,29,68,119,205,234
164,53.0316,13.9908,SB,88,34,219,20,74,108,207,227
183,54.6792,13.4343,SB,96,38,224,28,78,116,213,241
198,51.3745,11.292,SB,76,64,220,35,36,100,199,234
222,50.5907,12.714,SB,97,40,228,27,73,113,214,241
591,53.3911,10.6878,SB,84,28,234,19,75,103,224,243
596,54.0028,11.1908,SB,92,39,225,35,70,109,213,248
640,50.8685,12.7237,SB,89,30,230,25,74,104,220,245
662,52.2915,10.4464,SB,85,38,213,24,68,106,201,225
717,51.3873,8.5737,SB,95,38,239,46,80,118,219,265
735,52.1692,12.7334,SB,84,38,221,20,64,102,211,231
822,51.2066,14.2371,SB,98,43,228,32,68,111,208,240
853,50.7913,12.872,SB,88,27,226,24,71,98,213,237
882,50.7813,10.786,SB,84,50,234,37,56,106,215,252
1133,52.1014,11.2322,SB,87,53,215,46,61,114,185,231
1246,51.8418,8.0607,SB,103,39,213,34,90,129,200,234
1412,50.8969,13.2205,SB,88,26,223,27,74,100,212,239
1532,53.6865,11.0608,SB,100,7,230,15,97,104,222,237
1612,50.8813,12.1289,SB,79,37,225,13,59,96,217,230
1684,51.1622,14.9506,SB,85,0,226,14,85,85,220,234
1691,51.5002,9.9507,SB,92,37,223,31,74,111,212,243
1757,54.0967,13.4056,SB,90,34,222,29,72,106,207,236
1780,50.4316,11.9443,SB,90,7,223,18,87,94,215,233
1820,50.85,11.6667,SB,79,42,224,40,55,97,204,244
2163,51.5448,10.8748,SB,80,50,236,22,54,104,223,245
2261,50.3122,11.8761,SB,96,33,222,34,75,108,203,237
2468,50.9352,12.6206,SB,80,44,221,21,54,98,211,232
2514,54.6667,9.9333,SB,104,19,225,18,95,114,218,236
2561,49.7167,8.1167,SB,82,28,217,21,68,96,206,227
2878,51.391,11.8788,SB,80,43,219,12,54,97,214,226
2925,51.3933,10.3123,SB,106,0,239,0,106,106,239,239
2932,51.4348,12.2396,SB,83,43,217,16,61,104,209,225
2995,52.8719,13.3927,SB,84,28,219,17,69,97,209,226
3015,52.2085,14.118,SB,73,0,217,0,73,73,217,217
3023,52.5181,7.3081,SB,98,30,219,22,87,117,211,233
3158,52.5468,14.5452,SB,105,0,224,0,105,105,224,224
3196,53.3223,11.9319,SB,90,9,220,2,86,95,219,221
3302,51.0418,11.0062,SB,76,54,212,24,40,94,200,224
3314,52.1458,11.9563,SB,86,36,213,32,75,111,198,230
3347,51.7384,9.7899,SB,87,37,224,27,70,107,211,238
3487,51.607,11.1183,SB,98,42,241,32,73,115,221,253
3491,50.441,11.2401,SB,100,0,237,0,100,100,237,237
3552,52.9037,12.8072,SB,94,0,209,23,94,94,202,225
3637,51.5158,10.7739,SB,92,30,223,38,78,108,201,239
3660,50.3601,6.8697,SB,78,10,219,14,75,85,212,226
3684,51.2873,11.0183,SB,64,31,224,26,50,81,205,231
3750,48.0579,9.9479,SB,90,0,231,0,90,90,231,231
3815,52.2553,8.0534,SB,92,48,217,32,71,119,201,233
4039,53.7331,9.8776,SB,97,52,222,72,67,119,186,258
4079,51.1765,11.4183,SB,84,40,221,24,56,96,206,230
4271,54.1803,12.0808,SB,86,0,229,10,86,86,224,234
4372,50.8063,10.2294,SB,86,25,224,28,74,99,210,238
4466,54.5275,9.5487,SB,89,31,221,30,75,106,204,234
4625,53.6425,11.3872,SB,90,21,221,41,81,102,204,245
4642,52.8911,11.7297,SB,80,18,206,29,71,89,188,217
4768,50.6574,9.9135,SB,106,11,231,13,101,112,223,236
4887,48.6657,9.8646,SB,88,39,224,30,70,109,210,240
4933,48.7091,9.2147,SB,84,30,214,31,68,98,198,229
4983,50.8619,11.2453,SB,84,17,220,30,73,90,206,236
5100,49.7479,6.6582,SB,90,33,219,17,74,107,210,227
5103,49.3544,7.7948,SB,92,15,235,8,83,98,231,239
5142,53.7444,14.0697,SB,88,27,222,10,74,101,215,225
5250,48.0908,7.6353,SB,77,23,195,24,66,89,185,209
5404,48.4025,11.6946,SB,83,29,213,24,69,98,203,227
5440,49.0116,10.9308,SB,85,26,218,18,71,97,211,229
5546,52.1207,12.4585,SB,79,28,212,29,69,97,201,230
5629,51.8892,12.6445,SB,88,41,213,14,64,105,205,219
5705,49.7703,9.9577,SB,84,29,220,8,70,99,216,224
