climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
3,50.7827,6.0941,SM,111,14,263,14,102,124,237,278
98,51.189,8.4671,SM,117,11,267,11,100,127,231,282
140,52.6861,11.4272,SM,112,9,259,9,107,127,249,271
164,53.0316,13.9908,SM,125,14,261,14,110,140,246,281
183,54.6792,13.4343,SM,115,9,266,8,110,120,253,291
198,51.3745,11.292,SM,111,6,253,6,105,118,240,267
222,50.5907,12.714,SM,121,7,267,7,105,137,245,287
282,49.8742,10.9206,SM,115,10,259,10,108,124,227,284
501,50.5296,10.0485,SM,119,13,266,13,102,131,246,293
524,51.6333,12.3167,SM,110,16,251,16,103,119,235,269
591,53.3911,10.6878,SM,115,14,264,15,100,123,242,288
596,54.0028,11.1908,SM,109,5,265,5,106,116,262,284
640,50.8685,12.7237,SM,116,14,266,14,102,128,237,294
662,52.2915,10.4464,SM,116,15,266,15,110,126,237,284
717,51.3873,8.5737,SM,124,8,272,8,118,137,241,300
722,51.7986,10.6183,SM,110,14,260,15,100,125,248,296
729,50.8282,10.454,SM,119,9,263,10,115,124,254,273
735,52.1692,12.7334,SM,118,12,262,11,107,130,249,274
821,49.1443,10.5024,SM,113,13,259,13,104,124,234,280
822,51.2066,14.2371,SM,114,9,254,9,110,122,230,274
853,50.7913,12.872,SM,121,7,267,7,105,137,245,287
882,50.7813,10.786,SM,120,3,266,3,111,126,272,285
891,53.8713,8.7058,SM,120,5,269,5,118,122,261,285
963,52.5881,8.3424,SM,114,14,270,14,109,120,256,279
1048,51.128,13.7543,SM,124,10,255,10,109,132,230,270
1078,51.296,6.7686,SM,107,8,272,7,101,112,265,293
1133,52.1014,11.2322,SM,113,7,266,7,106,119,250,291
1246,51.8418,8.0607,SM,114,15,259,15,104,130,235,275
1346,47.8749,8.0038,SM,118,14,262,14,110,134,226,283
1358,50.4283,12.9535,SM,121,7,267,7,105,137,245,287
1412,50.8969,13.2205,SM,117,14,268,14,108,129,240,299
